Date,icici,sbi
25-03-2022,699.25,490.700012
28-03-2022,710.349976,497.5
29-03-2022,715.299988,495
30-03-2022,730.900024,494.299988
31-03-2022,730.299988,493.549988
01-04-2022,736.25,508.200012
04-04-2022,746.599976,512.400024
05-04-2022,741.799988,509.399994
06-04-2022,741.599976,513.950012
07-04-2022,748.549988,514.950012
08-04-2022,754.299988,516.099976
11-04-2022,759.599976,514.900024
12-04-2022,763.849976,512.849976
13-04-2022,762.25,517.700012
18-04-2022,757.799988,509.5
19-04-2022,766.299988,511.799988
20-04-2022,755.549988,509.299988
21-04-2022,762.349976,516.299988
22-04-2022,747.650024,500.600006
25-04-2022,752.200012,494.75
26-04-2022,753.75,505.5
27-04-2022,736.700012,497.25
28-04-2022,747.150024,507.5
29-04-2022,743.299988,496.299988
02-05-2022,741,491
04-05-2022,724.25,479.649994
05-05-2022,728.799988,480
06-05-2022,719.25,483.950012
09-05-2022,710.349976,475.899994
10-05-2022,711.299988,475.200012
11-05-2022,714.200012,476.549988
12-05-2022,695.799988,462.649994
13-05-2022,677.349976,444.649994
16-05-2022,683,455
17-05-2022,710,467.299988
18-05-2022,707.349976,458
19-05-2022,690.299988,447.5
20-05-2022,709.549988,462.399994
23-05-2022,711.049988,460.899994
24-05-2022,708.150024,462.049988
25-05-2022,713.349976,454.100006
26-05-2022,728.5,468.899994
27-05-2022,739.799988,468.950012
30-05-2022,748.5,474.600006
31-05-2022,752.849976,468.100006
01-06-2022,752.650024,468.299988
02-06-2022,749.75,469.850006
03-06-2022,744.299988,464.5
06-06-2022,746.75,463.700012
07-06-2022,735.25,463.399994
08-06-2022,729.5,471.299988
09-06-2022,732.75,466.950012
10-06-2022,720,461.850006
13-06-2022,688,445.850006
14-06-2022,685.5,448.100006
15-06-2022,687.25,451.350006
16-06-2022,678.5,441.600006
17-06-2022,686.849976,441
20-06-2022,685.950012,434.700012
21-06-2022,696.099976,450.75
22-06-2022,686.599976,447.649994
23-06-2022,699.150024,451.399994
24-06-2022,713.450012,454.25
27-06-2022,717.349976,461.200012
28-06-2022,710.299988,464.25
29-06-2022,702.75,459.100006
30-06-2022,707.200012,465.899994
01-07-2022,703.900024,466.850006
04-07-2022,720.099976,473.450012
05-07-2022,719.450012,472.149994
06-07-2022,725.950012,479.950012
07-07-2022,742,486.75
08-07-2022,755.700012,488.549988
11-07-2022,769.5,488.200012
12-07-2022,759.900024,484.950012
13-07-2022,753.200012,486.5
14-07-2022,752.400024,479.350006
15-07-2022,751.200012,479.100006
18-07-2022,772,490.299988
19-07-2022,780.650024,497.950012
20-07-2022,783.099976,508.600006
21-07-2022,786,512.049988
22-07-2022,800.049988,513.700012
25-07-2022,800.900024,517.799988
26-07-2022,796.299988,514.200012
27-07-2022,800.5,528.200012
28-07-2022,814.599976,532.450012
29-07-2022,818.599976,528.349976
01-08-2022,823.400024,533.75
02-08-2022,817.75,542.099976
03-08-2022,824.799988,540.849976
04-08-2022,820.25,533.25
05-08-2022,838.200012,531.049988
08-08-2022,836.950012,520.400024
10-08-2022,848.75,514.700012
11-08-2022,859.700012,524.75
12-08-2022,874.400024,530.700012
16-08-2022,879.25,525.950012
17-08-2022,883.25,528.150024
18-08-2022,885.099976,532.349976
19-08-2022,870.400024,520.349976
22-08-2022,852.25,511.299988
23-08-2022,863.900024,521.900024
24-08-2022,873.299988,519.299988
25-08-2022,872.349976,520.400024
26-08-2022,870.849976,523.799988
29-08-2022,855.849976,514.849976
30-08-2022,887.299988,531.25
01-09-2022,874.349976,533.299988
02-09-2022,872.400024,536.700012
